effect,effect_label,flip_label,K,model,n_records,n_models,n_prompts,n_contexts,n_proposals,mean_score_delta,median_score_delta,mean_rank_delta,median_rank_delta,mean_rank_delta_if_harmed,p_any_rank_loss,p_any_rank_gain,p_exit_unconditional,p_exit_given_funded_base
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,kimi,480.0,,3.0,4.0,40.0,-0.07020833333333333,0.0,4.28125,0.0,11.31578947368421,0.475,0.11875,0.11458333333333333,0.6547619047619048
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,ministral,480.0,,3.0,4.0,40.0,-0.042708333333333334,0.0,1.6645833333333333,0.0,19.48780487804878,0.08541666666666667,0.0,0.05,0.2857142857142857
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,mistral,480.0,,3.0,4.0,40.0,-0.02354166666666665,0.0,1.5895833333333333,0.0,11.784810126582279,0.32916666666666666,0.21666666666666667,0.075,0.42857142857142855
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,phi,480.0,,3.0,4.0,40.0,-0.03770833333333334,0.0,1.68125,0.0,16.0609756097561,0.17083333333333334,0.08541666666666667,0.04375,0.25
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,deepseek,480.0,,3.0,4.0,40.0,-0.03958333333333333,0.0,1.3770833333333334,0.0,9.305555555555555,0.45,0.32708333333333334,0.08333333333333333,0.4166666666666667
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,gemma,480.0,,3.0,4.0,40.0,-0.033749999999999995,0.0,1.3375,0.0,15.41304347826087,0.09583333333333334,0.0125,0.03958333333333333,0.19791666666666666
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,glm,480.0,,3.0,4.0,40.0,-0.07312500000000001,0.0,3.877083333333333,0.0,11.746606334841628,0.46041666666666664,0.15833333333333333,0.11458333333333333,0.5729166666666666
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,gpt,480.0,,3.0,4.0,40.0,-0.023333333333333334,0.0,1.21875,0.0,12.72,0.20833333333333334,0.12916666666666668,0.058333333333333334,0.2916666666666667
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,kimi,480.0,,3.0,4.0,40.0,-0.07020833333333333,0.0,4.28125,0.0,11.31578947368421,0.475,0.11875,0.12083333333333333,0.6041666666666666
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,ministral,480.0,,3.0,4.0,40.0,-0.042708333333333334,0.0,1.6645833333333333,0.0,19.48780487804878,0.08541666666666667,0.0,0.052083333333333336,0.2604166666666667
